<<<<<<< HEAD
"Anno","Codice Regione","Descrizione Regione","Codice Azienda","Tipo Azienda","Codice struttura","Denominazione struttura","Indirizzo","Codice Comune","Comune","Sigla provincia","Codice tipo struttura","Descrizione tipo struttura","Tipo di Disciplina","Posti letto degenza ordinaria","Posti letto degenza a pagamento","Posti letto Day Hospital","Posti letto Day Surgery","Totale posti letto"
2010,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA                             ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",56,0,0,0,56
2010,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA                             ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",60,0,0,0,60
2011,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA                             ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",56,0,0,0,56
2011,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA                             ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",60,0,0,0,60
2012,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",56,0,0,0,56
2012,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",60,0,0,0,60
2013,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",48,0,0,0,48
2013,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",39,0,0,0,39
2014,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",48,0,0,0,48
2014,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",39,0,0,0,39
2015,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",48,0,0,0,48
2015,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA, 9                          ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",39,0,0,0,39
2016,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA 6                           ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",48,0,0,0,48
2016,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA 6                           ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",39,0,0,0,39
2017,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA 6                           ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",48,0,0,0,48
2017,10,"PIEMONTE",205,1,10648,"ADRIANA S.R.L.                          ","VIA ROBIOLA 6                           ",1012,"ARIGNANO                                ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",39,0,0,0,39
2010,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA                       ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",104,0,0,0,104
2011,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA                       ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2011,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA                       ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2011,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA                       ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2012,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2012,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2012,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2013,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2013,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2013,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2014,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2014,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2014,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2015,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2015,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2015,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA, 15                   ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2016,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",15,0,0,0,15
2016,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2016,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",71,0,0,0,71
2017,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","ACUTI",2,0,0,0,2
2017,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","LUNGODEGENZA",18,0,0,0,18
2017,10,"PIEMONTE",203,1,10614,"CASA DI CURA VILLE AUGUSTA - S.R.L.     ","VIA PINEROLO SUSA 15                    ",1038,"BRUINO                                  ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",80,0,0,0,80
