<<<<<<< HEAD
Anno;Codice Regione;Descrizione Regione;Codice disciplina;Descrizione disciplina;Tipo di Disciplina;N° Reparti;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2010;010;PIEMONTE;01;ALLERGOLOGIA                            ;ACUTI;2;0;0;3;0;3
2010;010;PIEMONTE;02;DAY HOSPITAL                            ;ACUTI;32;0;0;282;0;282
2010;010;PIEMONTE;06;CARDIOCHIRURGIA PEDIATRICA              ;ACUTI;1;10;0;0;2;12
2010;010;PIEMONTE;07;CARDIOCHIRURGIA                         ;ACUTI;9;169;0;0;4;173
2010;010;PIEMONTE;08;CARDIOLOGIA                             ;ACUTI;39;488;0;28;0;516
2010;010;PIEMONTE;09;CHIRURGIA GENERALE                      ;ACUTI;81;1352;0;0;150;1502
2010;010;PIEMONTE;10;CHIRURGIA MAXILLO FACCIALE              ;ACUTI;4;29;0;0;5;34
2010;010;PIEMONTE;11;CHIRURGIA PEDIATRICA                    ;ACUTI;5;31;0;0;12;43
2010;010;PIEMONTE;12;CHIRURGIA PLASTICA                      ;ACUTI;11;60;0;0;25;85
2010;010;PIEMONTE;13;CHIRURGIA TORACICA                      ;ACUTI;6;59;0;0;2;61
2010;010;PIEMONTE;14;CHIRURGIA VASCOLARE                     ;ACUTI;15;140;0;0;16;156
2010;010;PIEMONTE;18;EMATOLOGIA                              ;ACUTI;12;89;0;47;0;136
2010;010;PIEMONTE;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;15;61;0;28;0;89
2010;010;PIEMONTE;20;IMMUNOLOGIA                             ;ACUTI;1;0;0;2;0;2
2010;010;PIEMONTE;21;GERIATRIA                               ;ACUTI;11;248;0;1;0;249
2010;010;PIEMONTE;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;13;196;0;42;0;238
2010;010;PIEMONTE;25;MEDICINA DEL LAVORO                     ;ACUTI;2;16;0;3;0;19
2010;010;PIEMONTE;26;MEDICINA GENERALE                       ;ACUTI;95;2468;0;108;0;2576
2010;010;PIEMONTE;28;UNITA` SPINALE                          ;RIABILITAZIONE;3;72;0;11;0;83
2010;010;PIEMONTE;29;NEFROLOGIA                              ;ACUTI;23;189;0;19;0;208
2010;010;PIEMONTE;30;NEUROCHIRURGIA                          ;ACUTI;11;170;0;0;4;174
2010;010;PIEMONTE;32;NEUROLOGIA                              ;ACUTI;35;515;0;22;0;537
2010;010;PIEMONTE;33;NEUROPSICHIATRIA INFANTILE              ;ACUTI;5;16;0;12;0;28
2010;010;PIEMONTE;34;OCULISTICA                              ;ACUTI;39;171;0;0;137;308
2010;010;PIEMONTE;35;ODONTOIATRIA E STOMATOLOGIA             ;ACUTI;7;13;0;0;7;20
2010;010;PIEMONTE;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;66;1251;0;0;97;1348
